epoch,learning_rate,train_loss,train_metric,test_loss,test_metric
1,0.0001,0.0044454427416589,0.0550556555390358,0.0044570987803915,0.0546649880707263
2,9.900000000000001e-05,0.0026519523115705,0.0385563597083091,0.0026914385995891,0.0394769199192523
3,9.801e-05,0.0016070073754151,0.0302641354501247,0.001656788593249,0.0310526322573423
4,9.702989999999999e-05,0.0016673772853042,0.029388103634119,0.0018126960302807,0.0315962471067905
5,9.6059601e-05,0.0013355979451186,0.0266896076500415,0.0014640388701156,0.0285642445087432
6,9.509900499e-05,0.0011900161394975,0.025149879977107,0.0013070235134908,0.0268540661782026
7,9.41480149401e-05,0.0017711201529305,0.0319918915629386,0.0019440410356402,0.0342779122292995
8,9.320653479069899e-05,0.00141349729938,0.0293247234076261,0.001559875669551,0.0311650801450014
9,9.227446944279202e-05,0.0011653688190321,0.0257935766130685,0.0012860085312075,0.0274286605417728
10,9.135172474836409e-05,0.0012333489097165,0.0273779202252626,0.0013663026198803,0.029065640643239
11,9.043820750088044e-05,0.001438104132615,0.0299035999923944,0.0015950247716001,0.0318368785083293
12,8.953382542587164e-05,0.0014729294602918,0.0301944036036729,0.0016222336951705,0.0320339389145374
13,8.863848717161293e-05,0.001304252442139,0.0280797518789768,0.0014318256862198,0.0297598391771316
14,8.77521022998968e-05,0.0012666171143287,0.0279358606785535,0.0014189113411736,0.0298941954970359
15,8.687458127689783e-05,0.0013163206923626,0.0284864902496337,0.0014761550350669,0.0304577704519033
16,8.600583546412884e-05,0.0011839851345916,0.0269424468278884,0.0013224330080543,0.0286898743361234
17,8.514577710948756e-05,0.0011820437320234,0.0269349757581949,0.0013459679429923,0.028940126299858
18,8.429431933839267e-05,0.0011318904408189,0.026275897398591,0.0012937305730705,0.0282575301826
19,8.345137614500875e-05,0.0011623274130854,0.0266919713467359,0.0013223458958599,0.0286644324660301
20,8.261686238355867e-05,0.0011002600088965,0.0258402656763792,0.0012566448110751,0.027786549180746
21,8.179069375972308e-05,0.0010820354913601,0.025590231642127,0.0012373944772467,0.0275277234613895
22,8.097278682212584e-05,0.0011301919964457,0.0262896884232759,0.00128832164317,0.0282527990639209
23,8.016305895390458e-05,0.0010896744186194,0.0255173277109861,0.0012457275147401,0.0275018420070409
24,7.936142836436555e-05,0.0010312554883958,0.0247702188789844,0.0011812207139505,0.0266754943877458
25,7.856781408072188e-05,0.0010730042149278,0.025375809520483,0.001232398331026,0.0273647550493478
26,7.778213593991467e-05,0.0010691302355696,0.0253684129565954,0.0012279301178826,0.0273407474160194
27,7.700431458051551e-05,0.00108923595982,0.0255963057279586,0.0012525510422725,0.0276321023702621
28,7.623427143471036e-05,0.0010675150084963,0.0251088216900825,0.0012231732560881,0.0271013155579566
29,7.547192872036326e-05,0.0011162057588786,0.0258767716586589,0.0012774202219306,0.027890907600522
30,7.471720943315961e-05,0.0010527065044494,0.0249347854405641,0.0012102246750041,0.0269376691430807
31,7.397003733882802e-05,0.0010930168095623,0.0255809165537357,0.001249860127578,0.0275627821683883
32,7.323033696543974e-05,0.0011097998867497,0.0256992951035499,0.0012716100127808,0.027729632332921
33,7.249803359578534e-05,0.0010739305900777,0.0252535082399845,0.0012242783814867,0.0271709579974412
34,7.177305325982749e-05,0.0010465917008359,0.0249601397663354,0.0012110405162936,0.0270090531557798
35,7.105532272722921e-05,0.0010502949536256,0.0250143706798553,0.0012093231154891,0.026994589716196
36,7.034476949995692e-05,0.0010222837004461,0.0245703794062137,0.0011864910406942,0.0265689603984355
37,6.964132180495735e-05,0.0010774412356081,0.0253107789903879,0.0012489903374576,0.0273500755429267
38,6.894490858690777e-05,0.0010347766484081,0.0248329527676105,0.0011951916097413,0.0267972964793443
39,6.82554595010387e-05,0.0010482260587629,0.0249689742922782,0.0012055675033369,0.0269043836742639
40,6.75729049060283e-05,0.0011157182469311,0.0258743427693843,0.001275817031837,0.0277990140020847
41,6.689717585696803e-05,0.0011240712233795,0.0259299371391534,0.0012588578784412,0.0276117008179426
42,6.622820409839836e-05,0.0010505565790148,0.0249816942960023,0.0012113064286691,0.026914793998003
43,6.556592205741436e-05,0.0011215673987556,0.0259933117777109,0.0012736319253739,0.0278447661548852
44,6.491026283684022e-05,0.0011140226591313,0.0258514564484357,0.0012732684467174,0.0277829002588987
45,6.426116020847181e-05,0.0011047934071899,0.0256860107183456,0.0012700685689511,0.0276494659483432
46,6.36185486063871e-05,0.0011383628410438,0.0261782202869653,0.0012932958273206,0.0280158724635839
47,6.298236312032323e-05,0.0009993451780305,0.0242437589913606,0.0011733761295756,0.0262942593544721
48,6.235253948912e-05,0.0010608093817416,0.0251192934811115,0.0012141461165793,0.0269870720803737
49,6.17290140942288e-05,0.0010057166186767,0.0244014300405979,0.0011787058139396,0.0264628957957029
50,6.11117239532865e-05,0.0010014826819161,0.0243402458727359,0.0011648617332354,0.0263248290866613
51,6.050060671375364e-05,0.0010297983069498,0.0246893055737018,0.0012043209256773,0.0267818346619606
52,5.98956006466161e-05,0.0010365634009845,0.0248269811272621,0.0012168366043263,0.0269493907690048
53,5.9296644640149945e-05,0.0009660228772092,0.0237659625709056,0.0011439270030984,0.02585612796247
54,5.8703678193748444e-05,0.0009863508590407,0.0241079069674015,0.0011604539985485,0.0261618103832006
