epoch,train_loss,train_metric,test_loss,test_metric
1,0.004445442741658985,0.0550556555390358,0.004457098780391516,0.054664988070726395
2,0.002651952311570504,0.038556359708309174,0.002691438599589198,0.039476919919252396
3,0.0016070073754151368,0.03026413545012474,0.0016567885932490976,0.03105263225734234
4,0.0016673772853042623,0.029388103634119034,0.0018126960302807303,0.03159624710679054
5,0.0013355979451186875,0.02668960765004158,0.0014640388701156661,0.028564244508743286
6,0.0011900161394975018,0.025149879977107048,0.001307023513490864,0.02685406617820263
7,0.001771120152930551,0.03199189156293869,0.0019440410356402161,0.034277912229299545
8,0.0014134972993800473,0.029324723407626152,0.0015598756695510438,0.03116508014500141
9,0.0011653688190321496,0.02579357661306858,0.001286008531207581,0.027428660541772842
10,0.001233348909716585,0.027377920225262642,0.001366302619880322,0.02906564064323902
11,0.0014381041326150615,0.029903599992394447,0.0015950247716001661,0.03183687850832939
12,0.0014729294602918654,0.03019440360367298,0.001622233695170542,0.03203393891453743
13,0.0013042524421390269,0.028079751878976822,0.001431825686219894,0.029759839177131653
14,0.001266617114328724,0.02793586067855358,0.001418911341173602,0.02989419549703598
15,0.001316320692362605,0.02848649024963379,0.0014761550350669227,0.030457770451903343
16,0.0011839851345916562,0.02694244682788849,0.001322433008054357,0.028689874336123466
17,0.0011820437320234029,0.026934975758194923,0.0013459679429923836,0.028940126299858093
18,0.0011318904408189228,0.02627589739859104,0.0012937305730705106,0.02825753018260002
19,0.0011623274130854744,0.026691971346735954,0.001322345895859949,0.02866443246603012
20,0.0011002600088965036,0.025840265676379204,0.0012566448110751785,0.02778654918074608
21,0.0010820354913601662,0.025590231642127037,0.0012373944772467347,0.02752772346138954
22,0.0011301919964457883,0.026289688423275948,0.001288321643170074,0.028252799063920975
23,0.0010896744186194005,0.025517327710986137,0.0012457275147401557,0.027501842007040977
24,0.0010312554883958678,0.02477021887898445,0.0011812207139505757,0.026675494387745857
25,0.0010730042149278574,0.025375809520483017,0.0012323983310260141,0.027364755049347878
26,0.0010691302355696824,0.02536841295659542,0.0012279301178826872,0.02734074741601944
27,0.0010892359598200661,0.02559630572795868,0.0012525510422725494,0.027632102370262146
28,0.0010675150084963226,0.02510882169008255,0.0012231732560881294,0.027101315557956696
29,0.0011162057588786872,0.02587677165865898,0.0012774202219306876,0.02789090760052204
30,0.0010527065044494677,0.024934785440564156,0.0012102246750041272,0.02693766914308071
31,0.001093016809562377,0.025580916553735733,0.0012498601275780293,0.027562782168388367
32,0.0011097998867497189,0.025699295103549957,0.0012716100127808496,0.027729632332921028
33,0.0010739305900777044,0.025253508239984512,0.0012242783814867346,0.027170957997441292
34,0.0010465917008359877,0.024960139766335487,0.0012110405162936168,0.02700905315577984
35,0.0010502949536256145,0.025014370679855347,0.00120932311548919,0.02699458971619606
36,0.0010222837004461697,0.02457037940621376,0.0011864910406942264,0.026568960398435593
37,0.0010774412356081967,0.025310778990387917,0.0012489903374576633,0.02735007554292679
38,0.0010347766484081885,0.02483295276761055,0.0011951916097413195,0.026797296479344368
39,0.0010482260587629322,0.02496897429227829,0.0012055675033369804,0.026904383674263954
40,0.0011157182469311187,0.025874342769384384,0.0012758170318370012,0.027799014002084732
41,0.00112407122337953,0.02592993713915348,0.0012588578784412873,0.02761170081794262
42,0.0010505565790148593,0.024981694296002388,0.0012113064286691465,0.026914793998003006
43,0.0011215673987556337,0.025993311777710915,0.0012736319253739041,0.027844766154885292
44,0.0011140226591313512,0.025851456448435783,0.001273268446717455,0.027782900258898735
45,0.0011047934071899258,0.025686010718345642,0.0012700685689511675,0.027649465948343277
46,0.0011383628410438094,0.02617822028696537,0.0012932958273206643,0.028015872463583946
47,0.0009993451780305359,0.024243758991360664,0.001173376129575648,0.02629425935447216
48,0.001060809381741624,0.025119293481111526,0.0012141461165793847,0.026987072080373764
49,0.0010057166186767511,0.024401430040597916,0.0011787058139396459,0.026462895795702934
50,0.0010014826819161866,0.024340245872735977,0.0011648617332354063,0.02632482908666134
51,0.0010297983069498004,0.02468930557370186,0.0012043209256773386,0.026781834661960602
52,0.0010365634009845128,0.024826981127262115,0.0012168366043263075,0.026949390769004822
53,0.0009660228772092079,0.023765962570905685,0.0011439270030984866,0.025856127962470055
54,0.0009863508590407407,0.024107906967401505,0.0011604539985485248,0.026161810383200645
55,0.0009873010376567706,0.024105852469801903,0.0011652253397775505,0.0261665228754282
56,0.0009313893748183492,0.023269107565283775,0.001105779238303318,0.02532934956252575
57,0.0009245172533401006,0.023161781951785088,0.0010903422635779045,0.02512400969862938
58,0.0009346767231751067,0.02317780628800392,0.0011041081793970562,0.02515101432800293
59,0.0009123178627803024,0.0229372289031744,0.0010819711845269542,0.024907875806093216
60,0.0009214571952144181,0.023113222792744637,0.0010869223204413535,0.025054723024368286
61,0.0009101560144663449,0.022930646315217018,0.0010761323607136463,0.024869687855243683
62,0.0008979314044040632,0.022759368643164635,0.001062020023026586,0.024699782952666283
63,0.0009082440083029554,0.022892801091074944,0.0010724521646174713,0.02481909655034542
64,0.0008949076174755826,0.02270294912159443,0.001057572485393004,0.024623380973935127
65,0.000862581816101318,0.022212130948901176,0.0010226243224040355,0.024117503315210342
66,0.0008713555994492904,0.022344013676047325,0.0010329422318444692,0.02428298629820347
67,0.0008507493973278357,0.022056376561522484,0.001010719877227598,0.024010108783841133
68,0.0008668544985992683,0.022309092804789543,0.0010290631099371778,0.024264266714453697
69,0.0008763739903303733,0.022441992536187172,0.0010383806331974279,0.024387290701270103
70,0.0008713275820322303,0.02232624590396881,0.0010323064953653605,0.02421923354268074
71,0.0008386186112897213,0.021842362359166145,0.0009930287380955918,0.023695116862654686
72,0.0008519821942409277,0.022051958367228508,0.00101003601364442,0.023943588137626648
73,0.0008500351074617964,0.021981488913297653,0.0010069121930611042,0.02384435012936592
74,0.0008378514384687994,0.021818555891513824,0.0009909517152362777,0.02367875725030899
75,0.000840796631075326,0.021853599697351456,0.0009971841823292072,0.023715915158391
76,0.0008340948812933274,0.021777577698230743,0.0009915646470674804,0.0236761886626482
77,0.000836595080304691,0.0217959675937891,0.0009913482741870402,0.02365637756884098
78,0.0008285326896438743,0.021671270951628685,0.0009827183796536835,0.023515818640589714
79,0.0008277055247878227,0.021592961624264717,0.0009765945910629424,0.023373043164610863
80,0.0008332839491629839,0.021710332483053207,0.0009824986288474045,0.02353397198021412
81,0.0008177870942468883,0.021412616595625877,0.0009606008461961605,0.023146769031882286
82,0.0008193835900489474,0.021479520946741104,0.0009701479764085747,0.02327759563922882
83,0.0008169920892709437,0.021432118490338326,0.000964057272415281,0.023216061294078827
84,0.0007953880434694433,0.021100671961903572,0.0009405146059266472,0.022835832089185715
85,0.000802452722019712,0.02122095413506031,0.0009500290514388729,0.02299768105149269
86,0.0008004529942440603,0.02116759493947029,0.0009501892505601848,0.022970426827669144
87,0.0008178678327611386,0.021349245682358742,0.0009610268035651458,0.023078499361872673
88,0.0007935390243329313,0.021069716662168503,0.0009428395291832338,0.022854145616292953
89,0.0007944375638504817,0.021073857322335243,0.0009432594601097778,0.022865578532218933
90,0.0007951914322563908,0.02107037976384163,0.0009444561836018928,0.022865010425448418
91,0.0007940604787023898,0.020986348390579224,0.0009357213672696789,0.022723941132426262
92,0.000782725607896102,0.020793946459889412,0.0009265082252103747,0.022562429308891296
93,0.0007700844085268423,0.02062170021235943,0.0009132633294332475,0.022378485649824142
94,0.0007661683230292554,0.020589474588632584,0.0009117022130925734,0.02235468663275242
95,0.0007717427316925465,0.020596103742718697,0.0009143556123441116,0.022359779104590416
