epoch,learning_rate,train_loss,train_metric,test_loss,test_metric
1,1e-06,0.0030020346331437655,0.04123552888631821,0.003489397384988073,0.04475995525717735
2,5.949999999999983e-06,0.0017003389231908114,0.029177352786064148,0.0019367562154849356,0.031987160444259644
3,1.090000000000001e-05,0.0015519732347355469,0.028352461755275726,0.0018982153656769446,0.03192690387368202
4,1.5849999999999992e-05,0.0016559959433059697,0.030404921621084213,0.0020197535445278868,0.03359142318367958
5,2.080000000000002e-05,0.0015633315494694396,0.028768526390194893,0.0018421057258849662,0.031566519290208817
6,2.5750000000000002e-05,0.0015689406412330944,0.030331885442137718,0.0017834290937673168,0.03264870122075081
7,3.069999999999998e-05,0.001490322272883478,0.02974226139485836,0.0017175371394297736,0.0324864536523819
8,3.5650000000000006e-05,0.0011634675386286602,0.02509842999279499,0.0014550657205077112,0.02829616330564022
9,4.059999999999999e-05,0.0013505927700217873,0.025761667639017105,0.0017988458711808888,0.030198225751519203
10,4.5550000000000016e-05,0.0012617653992812233,0.024635765701532364,0.0017229776619489734,0.02920808084309101
11,5.05e-05,0.0011929468787622497,0.024348240345716476,0.0016213345662586772,0.028623072430491447
12,5.5449999999999986e-05,0.00120205702322291,0.02488194778561592,0.0016192690566430028,0.02904496155679226
13,6.040000000000001e-05,0.0012179784662993086,0.025508267804980278,0.0016226620469105915,0.029526380822062492
14,6.534999999999999e-05,0.0011964090395380279,0.025066141039133072,0.0016190625609413137,0.029263921082019806
15,7.030000000000001e-05,0.0011371775312291256,0.02454940415918827,0.0015697537330705911,0.028732532635331154
16,7.525e-05,0.0011066216947287115,0.02430732734501362,0.0015048886862318786,0.028148865327239037
17,8.019999999999998e-05,0.0011059871008915827,0.024602171033620834,0.001522208383642061,0.02850169688463211
18,8.515000000000001e-05,0.0010796293337180067,0.024296071380376816,0.0014880397771082098,0.028147835284471512
19,9.01e-05,0.0010378915878851394,0.023947112262248993,0.001419161285934383,0.027587389573454857
20,9.505000000000002e-05,0.0010009182957624713,0.02358934096992016,0.0013807057271768878,0.027214176952838898
21,0.0001,0.0009802347801055153,0.023327162489295006,0.001334439255267735,0.026721108704805374
22,9.505000000000002e-05,0.001004957777444224,0.023618128150701523,0.0013622595352213481,0.027099644765257835
23,9.01e-05,0.001018210052452024,0.023732692003250122,0.0013922483268875704,0.02742469124495983
24,8.515000000000001e-05,0.001067223706186331,0.024209387600421906,0.0014428353335926981,0.027963750064373016
25,8.019999999999998e-05,0.001090750426471378,0.024378938600420952,0.0014890263151068435,0.028386900201439857
26,7.525e-05,0.0011428257307108517,0.02503851056098938,0.0015503089447452736,0.02919243648648262
27,7.030000000000001e-05,0.0012650444394619862,0.026448549702763557,0.0017022867697730247,0.030868005007505417
28,6.534999999999999e-05,0.0014272540176756441,0.028603998944163322,0.0018940345875946975,0.03313925117254257
29,6.040000000000001e-05,0.0014162037806963019,0.02812015824019909,0.0018861897763736675,0.03272171691060066
30,5.5449999999999986e-05,0.001414183053999474,0.027044303715229034,0.001951920895898145,0.03222282603383064
31,5.05e-05,0.0014330758389007672,0.026596922427415848,0.002004552443021823,0.0320659838616848
32,4.5550000000000016e-05,0.0010159434208029203,0.023133959621191025,0.0013402503031083805,0.0265444815158844
33,4.059999999999999e-05,0.0008998766172058856,0.022380800917744637,0.0011126831953919354,0.024284258484840393
34,3.5650000000000006e-05,0.000890936466199571,0.02238503471016884,0.0010964885444113431,0.024400783702731133
35,3.069999999999998e-05,0.0009685811827718097,0.023614656180143356,0.001212031816800438,0.02589312382042408
36,2.5750000000000002e-05,0.0008936433036961775,0.022260166704654694,0.0011291110800055418,0.024451930075883865
37,2.080000000000002e-05,0.0008161024042310969,0.020875506103038788,0.0010432075485694982,0.023030491545796394
38,1.5849999999999992e-05,0.0007461940203006103,0.019756624475121498,0.000971024136451383,0.02190583385527134
39,1.090000000000001e-05,0.0006801421567326017,0.018771516159176826,0.0009015611048779808,0.020977647975087166
40,5.949999999999983e-06,0.0005991398331909148,0.01753951981663704,0.0007976168432189762,0.01962578482925892
41,1e-06,0.0004738367088982371,0.015593982301652431,0.0006556489629770039,0.01790112443268299
42,3.4749999999999913e-06,0.0005483015694505136,0.016717035323381424,0.0007277653085896652,0.01872256211936474
43,5.949999999999983e-06,0.0005982031856464546,0.01756504364311695,0.0007914785402923101,0.019599908962845802
44,8.425000000000018e-06,0.0006514106133324394,0.01843094825744629,0.0008633508436928679,0.020564094185829163
45,1.090000000000001e-05,0.0006876457195438622,0.018962204456329346,0.0009070506244684466,0.021121861413121223
46,1.3375000000000002e-05,0.000729341387417954,0.01952935941517353,0.000950257026266427,0.021655427291989326
47,1.5849999999999992e-05,0.0007661845609800077,0.02013522759079933,0.0009919141519713892,0.022236669436097145
48,1.8324999999999985e-05,0.0008178312773419902,0.02094823122024536,0.00104596173395138,0.023034222424030304
49,2.080000000000002e-05,0.0008461831759401802,0.021438302472233772,0.0010730209258041764,0.023513223975896835
50,2.327500000000001e-05,0.0008847714517655912,0.022053159773349762,0.0011216024399522363,0.024189194664359093
51,2.5750000000000002e-05,0.0009256650018418217,0.022767359390854836,0.0011674643656632202,0.02492763288319111
52,2.8224999999999995e-05,0.000977415604088467,0.023589173331856728,0.0012177421771163955,0.025748100131750107
53,3.069999999999998e-05,0.0010045193726364262,0.024141713976860046,0.0012483557838796787,0.0263383649289608
54,3.317500000000002e-05,0.0009507735943325977,0.02336174249649048,0.0011711428759749523,0.02546733431518078
55,3.5650000000000006e-05,0.0009418040382176067,0.023133959621191025,0.0011425619145469215,0.024941664189100266
56,3.8125e-05,0.0009250779086091395,0.02282177284359932,0.0011303283595404678,0.024596426635980606
57,4.059999999999999e-05,0.0008987344586740115,0.02242237888276577,0.0010933710765358119,0.024143898859620094
58,4.307499999999998e-05,0.0009927129621913526,0.02338976226747036,0.0012682640785266035,0.026188768446445465
59,4.5550000000000016e-05,0.001150931451278129,0.024315807968378067,0.0015477097394840668,0.02842928096652031
60,4.802500000000001e-05,0.0012987923666102452,0.02516755275428295,0.0017834068513970646,0.0299837663769722
61,5.05e-05,0.0014275204292422058,0.02664356306195259,0.0019772633582216727,0.03192658722400665
62,4.802500000000001e-05,0.0011641673365373362,0.02382255531847477,0.0015881154900307128,0.028226349502801895
63,4.5550000000000016e-05,0.0010111191185969604,0.02287202514708042,0.0013304173616896112,0.02626761421561241
64,4.307499999999998e-05,0.0009318826360418589,0.022757457569241524,0.0011465793833513617,0.024832146242260933
65,4.059999999999999e-05,0.0008932092672644407,0.022344321012496948,0.0010723512757116924,0.023925242945551872
66,3.8125e-05,0.0008949621043846173,0.02239753119647503,0.0010693458856886433,0.02395435981452465
67,3.5650000000000006e-05,0.000906213482774049,0.022637851536273956,0.0010951030931130178,0.024452397599816322
68,3.317500000000002e-05,0.0009238596067642105,0.023017223924398422,0.0011284509522190714,0.025045121088624
69,3.069999999999998e-05,0.0009752900320711428,0.023733241483569145,0.0011986625223879932,0.025828290730714798
70,2.8224999999999995e-05,0.0009406608191640356,0.023117970675230026,0.0011610450216737974,0.025173380970954895
71,2.5750000000000002e-05,0.0009032289326693781,0.022419990971684456,0.0011198297495821183,0.024403119459748268
72,2.327500000000001e-05,0.0008531501174035171,0.021557612344622612,0.0010597094845704316,0.023507559671998024
73,2.327500000000001e-05,0.000866722499263733,0.021782618016004562,0.0010719251222366475,0.02370823360979557
74,2.327500000000001e-05,0.0008574861084478725,0.021645011380314827,0.0010631741826309996,0.023579947650432587
75,2.327500000000001e-05,0.0008501746748415909,0.021531838923692703,0.00105648520737243,0.02349894307553768
76,2.327500000000001e-05,0.0008553196657238867,0.021595431491732597,0.0010591270019885985,0.023507727310061455
77,2.327500000000001e-05,0.0008600691621153035,0.02168267033994198,0.0010631020528177315,0.023585662245750427
78,2.327500000000001e-05,0.0008518732908204254,0.02157903090119362,0.0010526161351711678,0.02349347434937954
79,2.327500000000001e-05,0.0008500774260394234,0.02154725417494774,0.001052010097003733,0.023466501384973526
80,2.327500000000001e-05,0.0008555332207151911,0.0216517373919487,0.0010555842609597831,0.02352738380432129
81,2.327500000000001e-05,0.0008629259374822703,0.021741127595305443,0.0010655389071676637,0.02364490181207657
82,2.327500000000001e-05,0.0008607905288643309,0.021700548008084297,0.0010597713822732148,0.023573080077767372
83,2.327500000000001e-05,0.0008623534211187272,0.02172345481812954,0.001064706448113695,0.023624807596206665
84,2.327500000000001e-05,0.0008495285046062339,0.02153339982032776,0.0010509038034528994,0.02343660220503807
85,2.327500000000001e-05,0.0008536613046480602,0.021569041535258293,0.0010506273925598502,0.02345428615808487
86,2.327500000000001e-05,0.0008560874890928512,0.02161949686706066,0.0010525242399854313,0.023467890918254852
87,2.327500000000001e-05,0.000866334743664886,0.021833155304193497,0.0010667246264892652,0.023710334673523903
88,2.327500000000001e-05,0.0008591257750094742,0.02168775163590908,0.001052559561004509,0.02352970466017723
89,2.327500000000001e-05,0.000870889704106058,0.021866481751203537,0.0010656760593449298,0.02369196154177189
90,2.327500000000001e-05,0.0008567294134784986,0.02165021188557148,0.0010513909308823013,0.023481672629714012
91,2.327500000000001e-05,0.0008442966285052564,0.02148158848285675,0.0010406457665313716,0.02335793524980545
92,2.327500000000001e-05,0.0008522695907667744,0.021532544866204262,0.001042106917379252,0.02334500104188919
93,2.327500000000001e-05,0.0008542891544426841,0.021623415872454643,0.0010494350744796673,0.023477233946323395
94,2.327500000000001e-05,0.0008543745767199977,0.02162356860935688,0.0010462201265171499,0.02344542182981968
95,2.327500000000001e-05,0.000844707461166625,0.021529899910092354,0.0010370140315868438,0.02333996072411537
