epoch,learning_rate,train_loss,train_metric,test_loss,test_metric
1,0.0001,0.005517210118472374,0.06260648369789124,0.005541573489165335,0.062218181788921356
2,0.0001,0.003281268940939969,0.046651020646095276,0.003439210125831387,0.04776938632130623
3,0.0001,0.0030165921149346337,0.04200315102934837,0.00314384263323106,0.043299101293087006
4,0.0001,0.002552487835466255,0.03681487590074539,0.0026820057554198832,0.03859122842550278
5,0.0001,0.0023767159422100116,0.035237133502960205,0.0024762590951106834,0.03697528317570686
6,0.0001,0.0016978145716526449,0.031177060678601265,0.0018616697225569136,0.0333235040307045
7,0.0001,0.0018537634540414325,0.033165816217660904,0.002028735605061969,0.03529810532927513
8,0.0001,0.0017028035622749808,0.031979940831661224,0.0018610718793979557,0.03398726508021355
9,0.0001,0.0019270873940088551,0.0332493782043457,0.0020508514071166063,0.0351213775575161
10,0.0001,0.0015522337666907058,0.030247513204813004,0.0016842707735159879,0.032054342329502106
11,0.0001,0.0017412284790063119,0.031997185200452805,0.0018908491742827991,0.03400030732154846
12,0.0001,0.0019232659091082678,0.03362669795751572,0.002066638791659535,0.03553587198257446
13,0.0001,0.0018580755541339816,0.03336206078529358,0.001999355432246214,0.035235460847616196
14,0.0001,0.0017587160740861094,0.032513637095689774,0.0019095351356446329,0.034443199634552
15,0.0001,0.0018770807605179658,0.03336940333247185,0.0020234255690979837,0.03527722507715225
16,0.0001,0.0018502477384625116,0.03331531584262848,0.0020005974142016003,0.03520116209983826
17,0.0001,0.0017632485609411165,0.03297678381204605,0.0019222667327143605,0.034905388951301575
18,0.0001,0.0013957396864854004,0.028192972764372826,0.0014896479879927666,0.02966170944273472
19,0.0001,0.0014678921293231652,0.03045375645160675,0.001615222617358708,0.03227576985955238
20,0.0001,0.0014610014722680296,0.030438175424933434,0.0015962529804847594,0.032113298773765564
21,0.0001,0.0014142474107697272,0.02968567982316017,0.001541531975150041,0.03134394437074661
22,0.0001,0.001519555891966842,0.03096708469092846,0.0016844839979106264,0.03295357525348663
23,0.0001,0.0016153818008571251,0.031110117211937904,0.0017397756555248506,0.03284888342022896
24,0.0001,0.0014653048038337005,0.030421337112784386,0.0016031606270141894,0.032123029232025146
25,0.0001,0.001465415923991307,0.030058950185775757,0.0015917245394924077,0.031699128448963165
26,0.0001,0.001568102970163441,0.03142203018069267,0.0017192630932337783,0.03326105698943138
27,0.0001,0.0012821511364682202,0.028058800846338272,0.0014065448901513231,0.029735561460256577
28,0.0001,0.0021386750008907936,0.0357433557510376,0.002257375960454444,0.0372726246714592
29,0.0001,0.0012537626283221324,0.027730733156204224,0.0013778110350113908,0.029392367228865623
30,0.0001,0.0013893753594380184,0.029267137870192528,0.001515984265103887,0.0309258121997118
31,0.0001,0.0014118147150495306,0.02952623926103115,0.001547866443875407,0.03129325807094574
32,0.0001,0.0020694310911931906,0.03521206974983215,0.002203683872398779,0.036819227039813995
33,0.0001,0.0012359868297736236,0.027560679242014885,0.0013517692610599736,0.029124928638339043
34,0.0001,0.0012481757735829445,0.027669819071888924,0.0013457451168798996,0.02901272661983967
35,0.0001,0.002455277229930802,0.03868873044848442,0.002588660203612651,0.04020765796303749
36,0.0001,0.001548761876442097,0.031130865216255188,0.0016812038959444708,0.032769039273262024
37,0.0001,0.0016729817206343348,0.03150918334722519,0.0017413529956466008,0.03263890743255615
38,0.0001,0.0015874904823279564,0.031178997829556465,0.0017146523121430726,0.03286433219909668
39,0.0001,0.0017713488049394914,0.033851269632577896,0.0019177955447273426,0.035535410046577454
40,0.0001,0.0020811796817817576,0.03542168065905571,0.002152788139522943,0.036476098001003265
41,0.0001,0.0020613782808390772,0.03504526615142822,0.0021313360660938246,0.03618964925408363
42,0.0001,0.001541728005315798,0.030794093385338783,0.0016781580783727357,0.03253624960780144
43,0.0001,0.0015912727889561863,0.031806159764528275,0.0017214073044617417,0.03342253714799881
44,0.0001,0.0016767759576082752,0.032392892986536026,0.0017912737280642236,0.03387788310647011
45,5e-05,0.0007724070679487357,0.020702257752418518,0.000957202578358289,0.022773832082748413
46,5e-05,0.0007727840861338434,0.02073092944920063,0.0009443859114074525,0.022680681198835373
47,5e-05,0.0007824457177456713,0.020922493189573288,0.0009543528845870667,0.022881636396050453
48,5e-05,0.0007790287710814456,0.020807234570384026,0.000940627610288989,0.022660715505480766
49,5e-05,0.0007724425513086463,0.020786065608263016,0.0009332162064410542,0.02264837920665741
50,5e-05,0.0007745396268011621,0.02081124857068062,0.0009357069595758563,0.022695865482091904
51,5e-05,0.0007807981340456312,0.020916026085615158,0.0009388771589050525,0.022763289511203766
52,5e-05,0.0007906603907722121,0.021045686677098274,0.0009496279198642376,0.022893840447068214
53,5e-05,0.0007784624599369522,0.020886976271867752,0.0009327150436394051,0.022706078365445137
54,5e-05,0.0007818296069182107,0.020935844630002975,0.0009376898987317572,0.02276628091931343
55,5e-05,0.0007903287000009083,0.021081915125250816,0.0009487045251943005,0.02292998693883419
56,5e-05,0.0007832861364454814,0.020972443744540215,0.0009386744025892587,0.022803984582424164
57,2.5e-05,0.000659318278526608,0.018458468839526176,0.0008207616042293235,0.02025272138416767
58,2.5e-05,0.0006608106713751758,0.018450239673256874,0.0008159351205168605,0.020174872130155563
59,2.5e-05,0.0006643634763515861,0.018504224717617035,0.0008154270102059158,0.0201929472386837
60,2.5e-05,0.0006655982155730479,0.01854707859456539,0.0008157250398054717,0.02022966742515564
61,2.5e-05,0.0006651171087718697,0.01854049786925316,0.0008148710453661039,0.02021690271794796
62,2.5e-05,0.0006775330638086882,0.018663479015231133,0.0008239815717859619,0.02030552737414837
63,2.5e-05,0.0006692832282039715,0.01856512576341629,0.000813461573510892,0.020193226635456085
64,2.5e-05,0.0006576299161532101,0.018467072397470474,0.0008067097795131385,0.02013070322573185
65,2.5e-05,0.0006699430898243684,0.01859060674905777,0.0008112663596517759,0.020206844434142113
66,2.5e-05,0.0006704691488093701,0.018599893897771835,0.0008201431358979936,0.02026440016925335
67,2.5e-05,0.0006700793380210661,0.01859205588698387,0.0008119355286463162,0.020186906680464745
68,2.5e-05,0.0006670688356996473,0.018550241366028786,0.0008093840911894176,0.020152756944298744
69,2.5e-05,0.0006664191600804848,0.018519418314099312,0.0008066810775235445,0.02009315975010395
70,2.5e-05,0.0006679433750124855,0.01856382004916668,0.0008091183137279019,0.020152758806943893
71,2.5e-05,0.0006727145962063991,0.018649904057383537,0.0008099235391734677,0.020216982811689377
72,2.5e-05,0.000669760713567229,0.018568193539977074,0.0008071987197377384,0.02013372629880905
73,2.5e-05,0.0006720544272699803,0.018613548949360847,0.0008125988696672377,0.02019154280424118
74,2.5e-05,0.0006664623556059721,0.018604865297675133,0.0008079468777395024,0.020221101120114326
75,2.5e-05,0.0006746575663213846,0.018699999898672104,0.0008170769461270909,0.02029106207191944
76,1.25e-05,0.0005984709647590174,0.017334019765257835,0.0007616683775562281,0.019130852073431015
77,1.25e-05,0.0006013651226587632,0.017415756359696388,0.0007649406725206435,0.019186662510037422
78,1.25e-05,0.0006010017544486965,0.017374001443386078,0.0007630982290151317,0.019136788323521614
79,1.25e-05,0.000600033519034634,0.017375623807311058,0.0007618658907305972,0.01912832073867321
80,1.25e-05,0.0006003163377031115,0.01740676909685135,0.0007611760133072665,0.019137000665068626
81,1.25e-05,0.0005957943055163881,0.017307016998529434,0.0007536691663307417,0.019023962318897247
82,1.25e-05,0.0006020639383018844,0.017407089471817017,0.0007598268961361726,0.019111797213554382
83,1.25e-05,0.0005976605395134505,0.017340170219540596,0.0007567598203915287,0.019065406173467636
84,1.25e-05,0.0006009861352042862,0.01741676963865757,0.0007604799024134537,0.019132167100906372
85,1.25e-05,0.0005986450011254131,0.017353376373648643,0.0007572725998005877,0.019067535176873207
86,1.25e-05,0.0005953131821215406,0.0173314418643713,0.0007530659669000353,0.019037719815969467
87,1.25e-05,0.0006008130560669135,0.01740313321352005,0.0007576451035212106,0.019090211018919945
88,1.25e-05,0.0006011033634421976,0.017401767894625664,0.0007571663349530813,0.019086597487330437
89,1.25e-05,0.0006054728084511992,0.01745874062180519,0.0007625425864405989,0.019144687801599503
90,1.25e-05,0.0006112088106867777,0.01753236912190914,0.0007679551687778897,0.019218066707253456
