epoch,loss,metric
1,0.0214930164696123,0.0011889513116329908
2,0.017340315452759637,0.0008240037132054567
3,0.016262727444756278,0.0006312134792096913
4,0.015261026263756779,0.0005894502392038703
5,0.014926347551343724,0.0005660632741637528
6,0.015363304350670244,0.0006133549613878131
7,0.015659752297483696,0.0006089715752750635
8,0.013971730115750225,0.0005277741001918912
9,0.014964407688302206,0.0006196752074174583
10,0.01337920419757285,0.000494617794174701
11,0.013744958125947625,0.000517013599164784
12,0.013043319142528773,0.0004672589711844921
13,0.0137161405247449,0.0005200133309699595
14,0.01436335996192025,0.0005742970970459282
15,0.014342112349640706,0.0006108707166276872
16,0.01388496368363004,0.0005747322575189173
17,0.014360159560709476,0.0006075161509215832
18,0.014233156968444594,0.0006233880412764847
19,0.013636196630492278,0.0005519614787772298
20,0.014242144953632551,0.000597983889747411
21,0.013837315191069505,0.0005696037551388144
22,0.014693858090565351,0.0006383599247783422
23,0.014314705645137905,0.0006166428793221712
24,0.014178318823562438,0.0006047675851732492
25,0.014229105548744793,0.0006114649586379528
26,0.01404506588447591,0.0006080930470488966
27,0.014103026087156445,0.0006013039965182543
28,0.014018126555077032,0.0006170778651721776
29,0.013554685938011,0.0005585440085269511
30,0.014028129613689148,0.0006034784601069987
31,0.014045783877978925,0.0006164295482449234
32,0.014651772528186342,0.0006691545713692904
33,0.013868965458409195,0.0005920596304349601
34,0.014038145048407266,0.0006039686850272119
35,0.014070304640637094,0.0006231007864698768
36,0.014223214000044377,0.0006502424948848784
37,0.014190444418970032,0.0006499955197796226
38,0.014319716683816546,0.0006583573413081467
39,0.014075152791428522,0.0006309751770459116
40,0.013850499495616697,0.0006101753679104149
41,0.013744046953133205,0.0006027990602888167
42,0.013841919749603734,0.0006111618713475764
43,0.013709195540747229,0.0006005876930430532
44,0.01425871723386601,0.0006490369560196996
45,0.014002504726267543,0.0006235684268176556
46,0.013992477020077353,0.0006291302270255983
47,0.014079325741090198,0.0006297795916907489
48,0.01410922853285825,0.0006339316023513675
49,0.014137871040007464,0.0006412144866771996
50,0.013920726717193004,0.000628206878900528
51,0.0140591858760302,0.0006306356517598033
52,0.014043124570441457,0.0006286517600528896
53,0.014250414938074541,0.0006584899383597076
54,0.013788658420192706,0.000614801945630461
55,0.013971685916807327,0.0006270981975831091
56,0.01379171398997406,0.0006135758012533188
57,0.013943910936509978,0.0006284755072556436
58,0.013774382612293235,0.0006112761911936104
59,0.01385864293150861,0.0006233223830349743
60,0.014031487939857446,0.0006348735769279301
61,0.014060791446718571,0.0006410986534319818
62,0.014062592717263594,0.0006350846379064023
63,0.013838029592188177,0.0006200943607836962
64,0.013801760527007153,0.0006219877395778894
65,0.013790577685902016,0.0006190480198711157
66,0.01399991377768394,0.0006366002489812672
67,0.013729493631693925,0.0006061290623620152
68,0.013771179799100855,0.0006104441708885133
69,0.013810380997493113,0.0006167566170915961
70,0.013868653154660269,0.0006236566696316004
71,0.013752505231172185,0.0006049226503819227
72,0.014009781501277538,0.0006392287323251367
73,0.01398763566299426,0.000641023158095777
74,0.01414977783181719,0.0006555604632012546
75,0.013888213480887928,0.0006255587213672698
76,0.013876530360181346,0.0006271927850320935
77,0.013876066114976219,0.0006241428782232106
78,0.0138386633336357,0.0006246313569135964
79,0.01392394986427801,0.0006304565467871726
80,0.01396809795825045,0.0006361810956150293
81,0.013875361285551755,0.0006277274806052446
82,0.013958867350817646,0.0006303172558546066
83,0.01385842797345889,0.0006219968781806529
84,0.013924834315623951,0.0006304491544142365
85,0.014037287836105646,0.0006423834711313248
86,0.013818042401787764,0.0006225247634574771
87,0.013862320237278465,0.00062654196517542
88,0.013876488380631382,0.0006252093589864671
89,0.013924242776837266,0.0006325732683762908
90,0.013942023553812726,0.0006320960819721222
91,0.013936123178156604,0.0006330788601189852
92,0.013947982878420237,0.0006296850042417645
93,0.013904047688375486,0.0006272946484386921
94,0.013882998842364816,0.0006256192573346198
95,0.013915430333129314,0.0006296574720181525
96,0.013970516461836752,0.0006353883072733879
97,0.013932038454481727,0.0006337006343528628
98,0.013911372778669768,0.0006309516611509025
99,0.01392547354058049,0.0006302255787886679
100,0.013985568954437382,0.0006358533864840865
